pat  cover  s0    s12   s33   s59   s75   s100   minSig
190  0.280   64.6  64.3  41.6  57.0  56.1  61.9    41.6
191  0.166   22.0  21.0  15.9  19.2  23.9  17.7    15.9
192  0.074   15.9  21.6  14.7  18.2  24.7  23.2    14.7
193  0.225   25.0  33.3  21.3  34.0  21.7  25.3    21.3
194  0.227   29.2  32.9  26.0  27.9  35.0  32.1    26.0
195  0.133   15.6  21.1  13.4  17.7  19.7  18.6    13.4
196  0.021    7.0   6.9   4.9   5.7   6.4   5.9     4.9
197  0.126   13.5  12.1  10.0  11.8  15.1  10.9    10.0
198  0.397   46.9  43.4  42.7  45.0  52.3  41.8    41.8
199  0.802   47.8  41.8  45.8  47.3  51.6  44.8    41.8
200  0.256   31.9  36.3  21.4  29.4  17.3  26.8    17.3
201  0.226   64.3  63.7  46.3  55.7  73.0  47.5    46.3
