event,frame,slot,routine,name,role,cls,blend,peak,life,mood,span,off,wild,hrot,tz,tx,ty,tr,schemeA,schemeB,leg
spawn,1728087,1,178,155 knot loom,2,0,1,149,1291,1,17000,12340,0,2,0.4493,-0.3000,-0.1141,2.0944,21,77,1687
spawn,1728288,4,111,088 star cross,0,0,0,256,1359,2,17000,17981,0,0,1.2411,0.0000,0.0000,5.6848,21,77,1687
spawn,1728829,4,138,115 vega bulge,0,0,0,256,1249,0,17000,25679,0,0,1.1556,0.0000,0.0000,4.5877,77,96,1688
spawn,1729305,2,153,130 pentagrid,2,0,1,112,791,0,6152,18898,0,0,1.3915,-0.1706,-0.0106,1.5957,77,96,1688
spawn,1730117,1,169,146 apollonian rings,2,0,1,166,1345,0,8000,6100,0,0,0.8701,0.0929,0.0553,0.9973,96,18,1689
spawn,1730127,4,427,404 crushed velvet,0,0,0,256,609,0,17000,11845,0,0,1.1055,0.0000,0.0000,5.5851,96,18,1689
spawn,1730740,4,183,160 chrome relief,0,0,0,256,1215,2,17000,29631,0,0,1.2838,0.0000,0.0000,3.8896,18,19,1690
spawn,1731121,3,78,055 comet carousel,3,0,2,94,965,2,9257,16788,123,0,0.8906,-0.0812,0.1847,0.2992,18,19,1690
spawn,1731284,2,162,139 harmonic orb,2,0,1,130,994,2,16687,23038,0,0,1.0795,0.2271,0.0741,2.3936,18,19,1690
spawn,1732087,4,424,401 hammered metal,0,0,0,256,739,2,17000,989,0,0,1.2986,0.0000,0.0000,2.4933,19,123,1691
spawn,1732651,1,124,101 physarum veil,2,0,4,90,951,2,17000,16333,0,0,2.3604,0.2788,-0.0976,4.7872,123,131,1692
spawn,1732776,4,323,300 eyelet lace,1,0,0,256,967,2,17000,26001,0,0,1.3068,0.0000,0.0000,3.3909,123,131,1692
spawn,1733234,4,486,463 julia drift,0,0,0,256,610,0,14000,1860,0,0,1.3044,0.0000,0.0000,3.9893,123,131,1692
spawn,1733536,3,82,059 binary dance,3,0,1,83,373,0,4214,25577,0,0,1.0179,-0.2106,0.2953,1.2965,123,131,1692
spawn,1733697,2,58,035 string cardioid,2,0,1,134,650,0,5484,8868,129,0,1.5496,-0.2388,0.1847,5.0864,131,142,1693
spawn,1733952,4,20,asm,0,1,0,256,254,0,17000,20737,0,0,1.2912,0.0000,0.0000,3.1915,131,142,1693
spawn,1734263,4,367,344 silk bands,0,0,0,256,846,1,17000,30188,0,0,1.2715,0.0000,0.0000,2.7925,131,142,1693
spawn,1734668,1,158,135 kelvin wake,2,0,1,173,592,1,17000,11979,0,0,0.5478,0.0318,-0.0882,0.6981,142,75,1694
spawn,1734939,3,97,074 slow lightning,3,0,1,96,394,1,7187,19225,0,0,1.1431,0.1682,0.2953,6.2832,142,75,1694
spawn,1735119,4,430,407 geodesic dome,0,0,0,256,927,2,17000,5999,0,0,1.0282,0.0000,0.0000,1.1968,142,75,1694
spawn,1735855,2,57,034 lissajous weave,2,0,2,104,478,2,17000,22368,0,0,1.7323,-0.1118,-0.1188,4.5877,75,43,1695
spawn,1735985,1,320,297 quasi penrose,1,0,1,130,1433,2,17000,17211,0,0,1.6871,0.2012,-0.2224,0.1995,75,43,1695
spawn,1736116,4,389,366 planetary nebula,0,0,0,256,692,1,17000,31464,0,0,1.4022,0.0000,0.0000,3.4907,75,43,1695
spawn,1736538,3,619,596 frost glints,3,0,1,79,525,1,6890,6988,0,0,2.0607,0.1212,0.1424,6.1835,75,43,1695
spawn,1736813,4,629,606 burning ship,0,0,0,256,1435,1,17000,21504,0,0,1.3504,0.0000,0.0000,5.1861,43,179,1696
spawn,1737663,2,509,486 volcanic lightning,2,0,1,138,1063,1,13781,2520,180,2,1.6522,-0.1165,-0.0647,0.5984,43,179,1696
